index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
1309,UOAgent,0.47357940248705105,0.47357940248705105,0.0,0.2341757033874725,0.35387755293726175,DivideThePies8,UOAgent,0.005842766986461356,nxsLC5E6X,False,False,False,,-8987472834630941318,0.821886305643839,0.8470250714586299,0.6723134937167548,0.8470250714586299
1310,Shochan,0.8145470635215433,0.34365556411290143,0.7283784396789816,0.3040186497251614,0.5592828566233523,DivideThePies3,RVFitter,7.039917512214743,n2Fb9aDs6,False,False,False,,-8289741528358777159,0.7352586277781654,0.7362325645116617,0.946302585175924,0.9604785025329929
1311,RVFitter,0.3040186497251614,0.24015350268590402,0.08739125496341603,0.8145470635215433,0.5592828566233523,DivideThePies3,Shochan,0.057903591747162864,nUMZMk3yX,False,False,False,,-8289741528358777159,0.7352586277781654,0.7362325645116617,0.946302585175924,0.9604785025329929
1312,Shochan,0.6417740128808425,0.19652485722914453,0.5541542381961146,0.4759211973984305,0.5588476051396365,S4,RVFitter,0.08489046811882872,nmVGfefuj,False,False,False,,-8306434351347057297,0.9009909018167631,0.9009909018167631,0.9996896712833225,1.0
1313,RVFitter,0.4759211973984305,0.16424952297751227,0.37292431531873593,0.6417740128808425,0.5588476051396365,S4,Shochan,0.0026914640475297347,nsu8sB1d5,False,False,False,,-8306434351347057297,0.9009909018167631,0.9009909018167631,0.9996896712833225,1.0
1314,Shochan,0.27977463940327996,0.027441839804024756,0.25945265787334393,0.8068538089243602,0.54331422416382,S0,AwesomeNegotiator,1.2123361301783007,nWWTdIv0f,False,False,False,,-1553073918889387596,0.9554688065232676,0.9959923002174341,0.9290876396614738,1.0
1315,AwesomeNegotiator,0.8068538089243602,0.5611273150736306,0.559903822430771,0.27977463940327996,0.54331422416382,S0,Shochan,0.0062629314488731325,nS7KTd4dn,False,False,False,,-1553073918889387596,0.9554688065232676,0.9959923002174341,0.9290876396614738,1.0
1316,UOAgent,0.2341757033874725,0.2341757033874725,0.0,0.47357940248705105,0.35387755293726175,DivideThePies8,AwesomeNegotiator,0.007497080936445855,nbSsYjshQ,False,False,False,,1325771921956993597,0.821886305643839,0.8470250714586299,0.6723134937167548,0.8470250714586299
1317,AwesomeNegotiator,0.47357940248705105,0.47357940248705105,0.0,0.2341757033874725,0.35387755293726175,DivideThePies8,UOAgent,0.00447800311667379,n6UvZXiIE,False,False,False,,1325771921956993597,0.821886305643839,0.8470250714586299,0.6723134937167548,0.8470250714586299
1318,AwesomeNegotiator,0.5063031733225432,0.46907373956157705,0.07012166572853856,0.501169507317559,0.5037363403200511,S5,RVFitter,0.008804720069747418,nMn00UR75,False,False,False,,-5783442878672785219,1.0,1.0,0.9995113145167397,1.0
1319,RVFitter,0.501169507317559,0.4850247405592664,0.03135056774538247,0.5063031733225432,0.5037363403200511,S5,AwesomeNegotiator,0.0101205409882823,nY4gbMnNw,False,False,False,,-5783442878672785219,1.0,1.0,0.9995113145167397,1.0
1320,UOAgent,0.9081689653270122,0.5209143183374337,0.8268687274537508,0.6467506852102907,0.7774598252686514,S6,AwesomeNegotiator,0.010098050406668335,nyKo8z5wj,False,False,False,,-4274371575304894763,0.9951671010372792,0.9402833217381954,0.9863546611388232,1.0
1321,AwesomeNegotiator,0.6467506852102907,0.13140475186614992,0.5933096413288282,0.9081689653270122,0.7774598252686514,S6,UOAgent,0.011809035306214355,nhkfNsz6v,False,False,False,,-4274371575304894763,0.9951671010372792,0.9402833217381954,0.9863546611388232,1.0
1322,UOAgent,0.7934985084326868,0.47816550427842364,0.6169706303135231,0.5710733912420074,0.682285949837347,S1,UOAgent,0.002163459939765744,nWy1EItPZ,False,False,False,,-2060464807147336632,0.8520427936875007,0.9525250079942447,0.9140845490506934,1.0
